-2.50	-2.10	0.0	30.0		0.000	0.000	0.369
-2.50	-2.10	30.0	35.0		0.000	0.000	0.264
-2.50	-2.10	35.0	36.0		0.500	0.417	0.417
-2.50	-2.10	36.0	37.0		1.000	0.841	0.000
-2.50	-2.10	37.0	38.0		0.000	0.000	1.000
-2.50	-2.10	38.0	40.0		1.000	0.369	0.000
-2.50	-2.10	40.0	42.0		0.750	0.368	0.208
-2.50	-2.10	42.0	45.0		1.000	0.602	0.000
-2.50	-2.10	45.0	50.0		1.000	0.231	0.000
-2.50	-2.10	50.0	65.0		0.000	0.000	1.000
-2.50	-2.10	65.0	70.0		0.000	0.000	1.000
-2.50	-2.10	70.0	80.0		0.000	0.000	1.000
-2.50	-2.10	80.0	100.0		0.000	0.000	1.000
-2.50	-2.10	100.0	200.0		0.000	0.000	1.000
-2.10	-1.57	0.0	30.0		0.000	0.000	0.231
-2.10	-1.57	30.0	35.0		0.200	0.166	0.324
-2.10	-1.57	35.0	36.0		0.000	0.000	1.000
-2.10	-1.57	36.0	37.0		0.800	0.324	0.166
-2.10	-1.57	37.0	38.0		1.000	0.841	0.000
-2.10	-1.57	38.0	40.0		1.000	0.369	0.000
-2.10	-1.57	40.0	42.0		1.000	0.264	0.000
-2.10	-1.57	42.0	45.0		0.778	0.221	0.142
-2.10	-1.57	45.0	50.0		0.778	0.221	0.142
-2.10	-1.57	50.0	65.0		1.000	0.602	0.000
-2.10	-1.57	65.0	70.0		0.000	0.000	1.000
-2.10	-1.57	70.0	80.0		1.000	0.841	0.000
-2.10	-1.57	80.0	100.0		0.000	0.000	1.000
-2.10	-1.57	100.0	200.0		0.000	0.000	1.000
-1.57	-1.44	0.0	30.0		0.000	0.000	1.000
-1.57	-1.44	30.0	35.0		0.000	0.000	1.000
-1.57	-1.44	35.0	36.0		1.000	0.841	0.000
-1.57	-1.44	36.0	37.0		0.000	0.000	1.000
-1.57	-1.44	37.0	38.0		1.000	0.841	0.000
-1.57	-1.44	38.0	40.0		0.000	0.000	1.000
-1.57	-1.44	40.0	42.0		1.000	0.841	0.000
-1.57	-1.44	42.0	45.0		0.000	0.000	1.000
-1.57	-1.44	45.0	50.0		1.000	0.602	0.000
-1.57	-1.44	50.0	65.0		0.000	0.000	1.000
-1.57	-1.44	65.0	70.0		1.000	0.841	0.000
-1.57	-1.44	70.0	80.0		0.000	0.000	1.000
-1.57	-1.44	80.0	100.0		0.000	0.000	1.000
-1.57	-1.44	100.0	200.0		0.000	0.000	1.000
-1.44	-0.80	0.0	30.0		0.000	0.000	0.308
-1.44	-0.80	30.0	35.0		0.000	0.000	0.264
-1.44	-0.80	35.0	36.0		0.250	0.208	0.368
-1.44	-0.80	36.0	37.0		1.000	0.369	0.000
-1.44	-0.80	37.0	38.0		1.000	0.602	0.000
-1.44	-0.80	38.0	40.0		0.700	0.208	0.158
-1.44	-0.80	40.0	42.0		0.857	0.257	0.118
-1.44	-0.80	42.0	45.0		0.714	0.260	0.182
-1.44	-0.80	45.0	50.0		0.733	0.161	0.123
-1.44	-0.80	50.0	65.0		0.833	0.287	0.138
-1.44	-0.80	65.0	70.0		0.000	0.000	1.000
-1.44	-0.80	70.0	80.0		0.000	0.000	1.000
-1.44	-0.80	80.0	100.0		0.000	0.000	1.000
-1.44	-0.80	100.0	200.0		0.000	0.000	1.000
-0.80	0.00	0.0	30.0		0.000	0.000	0.080
-0.80	0.00	30.0	35.0		0.000	0.000	0.132
-0.80	0.00	35.0	36.0		0.200	0.166	0.324
-0.80	0.00	36.0	37.0		1.000	0.459	0.000
-0.80	0.00	37.0	38.0		1.000	0.841	0.000
-0.80	0.00	38.0	40.0		0.909	0.179	0.075
-0.80	0.00	40.0	42.0		0.714	0.169	0.131
-0.80	0.00	42.0	45.0		0.885	0.100	0.062
-0.80	0.00	45.0	50.0		0.778	0.141	0.103
-0.80	0.00	50.0	65.0		1.000	0.206	0.000
-0.80	0.00	65.0	70.0		0.000	0.000	1.000
-0.80	0.00	70.0	80.0		0.000	0.000	1.000
-0.80	0.00	80.0	100.0		1.000	0.841	0.000
-0.80	0.00	100.0	200.0		1.000	0.841	0.000
0.00	0.80	0.0	30.0		0.000	0.000	0.103
0.00	0.80	30.0	35.0		0.077	0.064	0.155
0.00	0.80	35.0	36.0		0.200	0.166	0.324
0.00	0.80	36.0	37.0		0.200	0.166	0.324
0.00	0.80	37.0	38.0		0.800	0.324	0.166
0.00	0.80	38.0	40.0		0.833	0.287	0.138
0.00	0.80	40.0	42.0		0.867	0.150	0.086
0.00	0.80	42.0	45.0		0.850	0.125	0.080
0.00	0.80	45.0	50.0		0.905	0.112	0.061
0.00	0.80	50.0	65.0		1.000	0.206	0.000
0.00	0.80	65.0	70.0		0.000	0.000	1.000
0.00	0.80	70.0	80.0		0.000	0.000	1.000
0.00	0.80	80.0	100.0		0.000	0.000	1.000
0.00	0.80	100.0	200.0		1.000	0.841	0.000
0.80	1.44	0.0	30.0		0.000	0.000	0.168
0.80	1.44	30.0	35.0		0.000	0.000	0.132
0.80	1.44	35.0	36.0		0.000	0.000	0.459
0.80	1.44	36.0	37.0		0.250	0.208	0.368
0.80	1.44	37.0	38.0		1.000	0.602	0.000
0.80	1.44	38.0	40.0		0.667	0.282	0.212
0.80	1.44	40.0	42.0		0.727	0.196	0.144
0.80	1.44	42.0	45.0		0.812	0.149	0.100
0.80	1.44	45.0	50.0		0.786	0.165	0.114
0.80	1.44	50.0	65.0		0.750	0.368	0.208
0.80	1.44	65.0	70.0		0.000	0.000	1.000
0.80	1.44	70.0	80.0		0.000	0.000	1.000
0.80	1.44	80.0	100.0		0.000	0.000	1.000
0.80	1.44	100.0	200.0		0.000	0.000	1.000
1.44	1.57	0.0	30.0		0.000	0.000	1.000
1.44	1.57	30.0	35.0		0.000	0.000	0.602
1.44	1.57	35.0	36.0		0.000	0.000	1.000
1.44	1.57	36.0	37.0		0.000	0.000	1.000
1.44	1.57	37.0	38.0		0.000	0.000	0.841
1.44	1.57	38.0	40.0		0.000	0.000	1.000
1.44	1.57	40.0	42.0		1.000	0.841	0.000
1.44	1.57	42.0	45.0		1.000	0.841	0.000
1.44	1.57	45.0	50.0		1.000	0.841	0.000
1.44	1.57	50.0	65.0		0.000	0.000	1.000
1.44	1.57	65.0	70.0		0.000	0.000	1.000
1.44	1.57	70.0	80.0		0.000	0.000	1.000
1.44	1.57	80.0	100.0		0.000	0.000	1.000
1.44	1.57	100.0	200.0		0.000	0.000	1.000
1.57	2.10	0.0	30.0		0.000	0.000	0.185
1.57	2.10	30.0	35.0		0.000	0.000	0.841
1.57	2.10	35.0	36.0		0.000	0.000	0.841
1.57	2.10	36.0	37.0		1.000	0.841	0.000
1.57	2.10	37.0	38.0		1.000	0.369	0.000
1.57	2.10	38.0	40.0		0.500	0.417	0.417
1.57	2.10	40.0	42.0		1.000	0.459	0.000
1.57	2.10	42.0	45.0		1.000	0.154	0.000
1.57	2.10	45.0	50.0		0.833	0.287	0.138
1.57	2.10	50.0	65.0		1.000	0.841	0.000
1.57	2.10	65.0	70.0		0.000	0.000	1.000
1.57	2.10	70.0	80.0		0.000	0.000	1.000
1.57	2.10	80.0	100.0		0.000	0.000	1.000
1.57	2.10	100.0	200.0		0.000	0.000	1.000
2.10	2.50	0.0	30.0		0.000	0.000	0.459
2.10	2.50	30.0	35.0		0.000	0.000	0.308
2.10	2.50	35.0	36.0		0.000	0.000	0.602
2.10	2.50	36.0	37.0		0.000	0.000	0.841
2.10	2.50	37.0	38.0		0.000	0.000	0.841
2.10	2.50	38.0	40.0		1.000	0.602	0.000
2.10	2.50	40.0	42.0		0.000	0.000	1.000
2.10	2.50	42.0	45.0		0.857	0.257	0.118
2.10	2.50	45.0	50.0		0.714	0.260	0.182
2.10	2.50	50.0	65.0		1.000	0.602	0.000
2.10	2.50	65.0	70.0		0.000	0.000	1.000
2.10	2.50	70.0	80.0		0.000	0.000	1.000
2.10	2.50	80.0	100.0		0.000	0.000	1.000
2.10	2.50	100.0	200.0		0.000	0.000	1.000
