-2.50	-2.10	0.0	10.0		0.000	0.000	1.000
-2.50	-2.10	10.0	12.0		0.000	0.000	1.000
-2.50	-2.10	12.0	13.0		0.000	0.000	1.000
-2.50	-2.10	13.0	14.0		0.000	0.000	1.000
-2.50	-2.10	14.0	15.0		0.000	0.000	1.000
-2.50	-2.10	15.0	20.0		0.000	0.000	1.000
-2.50	-2.10	20.0	25.0		1.000	0.841	0.000
-2.50	-2.10	25.0	30.0		0.667	0.415	0.277
-2.50	-2.10	30.0	35.0		0.667	0.282	0.212
-2.50	-2.10	35.0	40.0		1.000	0.231	0.000
-2.50	-2.10	40.0	45.0		1.000	0.264	0.000
-2.50	-2.10	45.0	50.0		1.000	0.231	0.000
-2.50	-2.10	50.0	60.0		0.000	0.000	1.000
-2.50	-2.10	60.0	100.0		0.000	0.000	1.000
-2.50	-2.10	100.0	200.0		0.000	0.000	1.000
-2.10	-1.57	0.0	10.0		0.000	0.000	1.000
-2.10	-1.57	10.0	12.0		0.000	0.000	1.000
-2.10	-1.57	12.0	13.0		0.000	0.000	1.000
-2.10	-1.57	13.0	14.0		0.000	0.000	1.000
-2.10	-1.57	14.0	15.0		0.000	0.000	1.000
-2.10	-1.57	15.0	20.0		1.000	0.841	0.000
-2.10	-1.57	20.0	25.0		1.000	0.602	0.000
-2.10	-1.57	25.0	30.0		1.000	0.369	0.000
-2.10	-1.57	30.0	35.0		1.000	0.308	0.000
-2.10	-1.57	35.0	40.0		1.000	0.168	0.000
-2.10	-1.57	40.0	45.0		1.000	0.116	0.000
-2.10	-1.57	45.0	50.0		0.889	0.212	0.092
-2.10	-1.57	50.0	60.0		1.000	0.602	0.000
-2.10	-1.57	60.0	100.0		1.000	0.841	0.000
-2.10	-1.57	100.0	200.0		0.000	0.000	1.000
-1.57	-1.44	0.0	10.0		0.000	0.000	1.000
-1.57	-1.44	10.0	12.0		0.000	0.000	1.000
-1.57	-1.44	12.0	13.0		0.000	0.000	1.000
-1.57	-1.44	13.0	14.0		0.000	0.000	1.000
-1.57	-1.44	14.0	15.0		0.000	0.000	1.000
-1.57	-1.44	15.0	20.0		0.000	0.000	1.000
-1.57	-1.44	20.0	25.0		0.000	0.000	1.000
-1.57	-1.44	25.0	30.0		0.000	0.000	1.000
-1.57	-1.44	30.0	35.0		0.000	0.000	1.000
-1.57	-1.44	35.0	40.0		1.000	0.602	0.000
-1.57	-1.44	40.0	45.0		1.000	0.841	0.000
-1.57	-1.44	45.0	50.0		1.000	0.602	0.000
-1.57	-1.44	50.0	60.0		0.000	0.000	1.000
-1.57	-1.44	60.0	100.0		1.000	0.841	0.000
-1.57	-1.44	100.0	200.0		0.000	0.000	1.000
-1.44	-0.80	0.0	10.0		0.000	0.000	1.000
-1.44	-0.80	10.0	12.0		0.000	0.000	1.000
-1.44	-0.80	12.0	13.0		0.000	0.000	1.000
-1.44	-0.80	13.0	14.0		0.000	0.000	1.000
-1.44	-0.80	14.0	15.0		0.000	0.000	1.000
-1.44	-0.80	15.0	20.0		0.000	0.000	1.000
-1.44	-0.80	20.0	25.0		1.000	0.841	0.000
-1.44	-0.80	25.0	30.0		1.000	0.369	0.000
-1.44	-0.80	30.0	35.0		1.000	0.264	0.000
-1.44	-0.80	35.0	40.0		0.950	0.106	0.041
-1.44	-0.80	40.0	45.0		0.929	0.146	0.059
-1.44	-0.80	45.0	50.0		0.933	0.137	0.055
-1.44	-0.80	50.0	60.0		0.833	0.287	0.138
-1.44	-0.80	60.0	100.0		0.000	0.000	1.000
-1.44	-0.80	100.0	200.0		0.000	0.000	1.000
-0.80	0.00	0.0	10.0		0.000	0.000	1.000
-0.80	0.00	10.0	12.0		0.000	0.000	1.000
-0.80	0.00	12.0	13.0		0.000	0.000	1.000
-0.80	0.00	13.0	14.0		0.000	0.000	1.000
-0.80	0.00	14.0	15.0		0.000	0.000	1.000
-0.80	0.00	15.0	20.0		0.500	0.417	0.417
-0.80	0.00	20.0	25.0		0.800	0.205	0.128
-0.80	0.00	25.0	30.0		1.000	0.168	0.000
-0.80	0.00	30.0	35.0		0.923	0.155	0.064
-0.80	0.00	35.0	40.0		0.950	0.106	0.041
-0.80	0.00	40.0	45.0		0.975	0.055	0.021
-0.80	0.00	45.0	50.0		0.944	0.116	0.046
-0.80	0.00	50.0	60.0		1.000	0.231	0.000
-0.80	0.00	60.0	100.0		1.000	0.602	0.000
-0.80	0.00	100.0	200.0		1.000	0.841	0.000
0.00	0.80	0.0	10.0		0.000	0.000	1.000
0.00	0.80	10.0	12.0		0.000	0.000	1.000
0.00	0.80	12.0	13.0		0.000	0.000	1.000
0.00	0.80	13.0	14.0		0.000	0.000	1.000
0.00	0.80	14.0	15.0		1.000	0.841	0.000
0.00	0.80	15.0	20.0		1.000	0.602	0.000
0.00	0.80	20.0	25.0		0.833	0.287	0.138
0.00	0.80	25.0	30.0		0.750	0.240	0.160
0.00	0.80	30.0	35.0		0.692	0.177	0.141
0.00	0.80	35.0	40.0		0.857	0.120	0.077
0.00	0.80	40.0	45.0		0.971	0.063	0.024
0.00	0.80	45.0	50.0		0.952	0.101	0.039
0.00	0.80	50.0	60.0		1.000	0.264	0.000
0.00	0.80	60.0	100.0		1.000	0.602	0.000
0.00	0.80	100.0	200.0		1.000	0.841	0.000
0.80	1.44	0.0	10.0		0.000	0.000	1.000
0.80	1.44	10.0	12.0		0.000	0.000	1.000
0.80	1.44	12.0	13.0		0.000	0.000	1.000
0.80	1.44	13.0	14.0		0.000	0.000	1.000
0.80	1.44	14.0	15.0		0.000	0.000	1.000
0.80	1.44	15.0	20.0		1.000	0.602	0.000
0.80	1.44	20.0	25.0		1.000	0.602	0.000
0.80	1.44	25.0	30.0		1.000	0.264	0.000
0.80	1.44	30.0	35.0		0.692	0.177	0.141
0.80	1.44	35.0	40.0		1.000	0.116	0.000
0.80	1.44	40.0	45.0		0.926	0.089	0.048
0.80	1.44	45.0	50.0		0.857	0.158	0.092
0.80	1.44	50.0	60.0		1.000	0.369	0.000
0.80	1.44	60.0	100.0		0.000	0.000	1.000
0.80	1.44	100.0	200.0		0.000	0.000	1.000
1.44	1.57	0.0	10.0		0.000	0.000	1.000
1.44	1.57	10.0	12.0		0.000	0.000	1.000
1.44	1.57	12.0	13.0		0.000	0.000	1.000
1.44	1.57	13.0	14.0		0.000	0.000	1.000
1.44	1.57	14.0	15.0		0.000	0.000	1.000
1.44	1.57	15.0	20.0		0.000	0.000	1.000
1.44	1.57	20.0	25.0		0.000	0.000	1.000
1.44	1.57	25.0	30.0		0.000	0.000	1.000
1.44	1.57	30.0	35.0		1.000	0.602	0.000
1.44	1.57	35.0	40.0		1.000	0.841	0.000
1.44	1.57	40.0	45.0		1.000	0.602	0.000
1.44	1.57	45.0	50.0		1.000	0.841	0.000
1.44	1.57	50.0	60.0		0.000	0.000	1.000
1.44	1.57	60.0	100.0		0.000	0.000	1.000
1.44	1.57	100.0	200.0		0.000	0.000	1.000
1.57	2.10	0.0	10.0		0.000	0.000	1.000
1.57	2.10	10.0	12.0		0.000	0.000	1.000
1.57	2.10	12.0	13.0		0.000	0.000	0.841
1.57	2.10	13.0	14.0		0.000	0.000	1.000
1.57	2.10	14.0	15.0		0.000	0.000	1.000
1.57	2.10	15.0	20.0		1.000	0.602	0.000
1.57	2.10	20.0	25.0		1.000	0.308	0.000
1.57	2.10	25.0	30.0		1.000	0.841	0.000
1.57	2.10	30.0	35.0		1.000	0.841	0.000
1.57	2.10	35.0	40.0		1.000	0.206	0.000
1.57	2.10	40.0	45.0		1.000	0.123	0.000
1.57	2.10	45.0	50.0		1.000	0.264	0.000
1.57	2.10	50.0	60.0		1.000	0.841	0.000
1.57	2.10	60.0	100.0		0.000	0.000	1.000
1.57	2.10	100.0	200.0		0.000	0.000	1.000
2.10	2.50	0.0	10.0		0.000	0.000	1.000
2.10	2.50	10.0	12.0		0.000	0.000	1.000
2.10	2.50	12.0	13.0		0.000	0.000	1.000
2.10	2.50	13.0	14.0		0.000	0.000	1.000
2.10	2.50	14.0	15.0		0.000	0.000	1.000
2.10	2.50	15.0	20.0		0.000	0.000	1.000
2.10	2.50	20.0	25.0		1.000	0.841	0.000
2.10	2.50	25.0	30.0		1.000	0.602	0.000
